"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2018"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","192117000","38655700","58483600","17844800","2082800","519500","8795000","318498500","1"
"Alabama","3115600","1257300","204800","63800","19000","N/A","90700","4752600"
"Alaska","426100","20700","50200","43200","110300","7400","51100","709100"
"Arizona","3815100","297000","2213600","227200","271900","12000","167400","7004300"
"Arkansas","2110400","436900","224900","44200","17000","8200","79700","2921300"
"California","14206900","2074900","15261300","5669100","120300","127200","1286000","38745900"
"Colorado","3774700","212200","1200900","176400","27600","5400","158000","5555200"
"Connecticut","2298100","343000","576400","161300","4900","N/A","82500","3466300"
"Delaware","582600","199900","88900","39100","3300","N/A","23700","937700"
"District of Columbia","244800","299900","75600","23700","N/A","N/A","22500","667900"
"Florida","11101600","3141700","5488400","571800","39300","9000","491600","20843500"
"Georgia","5358000","3158000","994300","421200","16300","12700","252400","10212800"
"Hawaii","278500","20400","142100","512800","N/A","129500","270100","1354800"
"Idaho","1407600","9300","217500","27300","18100","N/A","37100","1719600"
"Illinois","7588300","1685200","2173800","700500","14600","4000","271800","12438400"
"Indiana","5121300","600600","460900","147400","8500","N/A","145400","6487100"
"Iowa","2614600","102300","186400","79400","9000","N/A","60400","3056800"
"Kansas","2137700","150700","336500","78800","16000","N/A","91000","2814700"
"Kentucky","3664300","328400","155000","63100","5600","N/A","100900","4320300"
"Louisiana","2658300","1429700","229400","72900","22700","N/A","105500","4519300"
"Maine","1213400","17400","19500","17100","5100","N/A","26900","1299500"
"Maryland","2953400","1720400","613900","374500","8900","N/A","197600","5870800"
"Massachusetts","4717100","465500","824800","444600","11000","N/A","195000","6659900"
"Michigan","7327100","1321900","502900","315800","48200","N/A","252000","9770000"
"Minnesota","4370100","356100","296100","259600","51700","N/A","152900","5489000"
"Mississippi","1633600","1084700","81200","25300","12000","N/A","41300","2879400"
"Missouri","4719400","670600","240400","119300","20500","8700","155600","5934500"
"Montana","890100","3700","40500","6800","60400","N/A","32000","1034000"
"Nebraska","1470100","82100","206800","42800","12500","N/A","54400","1868900"
"Nevada","1447500","258700","866800","241600","28700","18400","121800","2983400"
"New Hampshire","1181500","14600","49900","37000","N/A","N/A","24000","1310300"
"New Jersey","4776900","1100300","1812100","842500","8900","N/A","185600","8728300"
"New Mexico","754700","37100","1004800","31200","181000","N/A","34500","2045300"
"New York","10508500","2684400","3665000","1618900","46200","N/A","490000","19016900"
"North Carolina","6314100","2095600","962600","294300","103700","6700","267400","10044400"
"North Dakota","613100","22200","25800","14400","37500","N/A","17400","730600"
"Ohio","8947700","1376200","434900","260100","19200","N/A","314800","11355900"
"Oklahoma","2492200","267700","414200","78400","288000","1900","273600","3816100"
"Oregon","3091900","74300","545300","188400","39800","14200","156900","4110800"
"Pennsylvania","9447800","1274800","939900","435300","12100","N/A","275500","12388100"
"Rhode Island","725400","57000","162700","34700","N/A","N/A","31600","1014000"
"South Carolina","3146900","1298200","284100","76700","14900","N/A","106000","4929800"
"South Dakota","692900","18500","32100","10900","73100","N/A","21200","848700"
"Tennessee","4860100","1087600","361800","113800","14700","N/A","144200","6586400"
"Texas","11607500","3251900","11163700","1389300","69200","19200","523100","28024000"
"Utah","2421400","35800","438200","72800","29100","26600","82000","3105900"
"Vermont","557900","6600","11000","11700","2100","N/A","11300","600600"
"Virginia","5034100","1519400","779900","536700","16100","4500","291400","8182100"
"Washington","5006200","268700","949700","648800","77900","48100","368600","7368000"
"West Virginia","1620000","63300","22500","13100","1600","N/A","31300","1752300"
"Wisconsin","4598500","349400","393600","159500","43800","1900","116200","5662800"
"Wyoming","471600","2700","56000","6000","12900","N/A","11100","560300"
"Puerto Rico","30000","4100","3124000","N/A","N/A","N/A","4600","3164400"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
